external_id,status,name,address,notes
P-00001,assigned,"Cemani Adriansyah S.E.","Ds. Raden No. 899, Kotamobagu 54954, Sultra","Generated Static Data"
P-00002,assigned,"Fitriani Aryani","Gg. Baik No. 592, Banjarbaru 41881, NTB","Generated Static Data"
P-00003,assigned,"Aurora Usada","Jr. Tangkuban Perahu No. 646, Solok 43351, DIY","Generated Static Data"
P-00004,assigned,"Joko Putra","Jln. Ciwastra No. 258, Langsa 60170, Jatim","Generated Static Data"
P-00005,assigned,"Winda Handayani","Ki. Salam No. 552, Banjarbaru 57824, Kaltara","Generated Static Data"
P-00006,assigned,"Nrima Latupono","Dk. Sutan Syahrir No. 721, Palopo 46985, Sumsel","Generated Static Data"
P-00007,assigned,"Digdaya Firmansyah","Gg. Kali No. 701, Semarang 45182, DKI","Generated Static Data"
P-00008,assigned,"Sakura Kusmawati S.Sos","Ki. Supono No. 461, Cimahi 93199, NTB","Generated Static Data"
P-00009,assigned,"Jumadi Lazuardi","Psr. Suniaraja No. 109, Pasuruan 91102, Jatim","Generated Static Data"
P-00010,assigned,"Nadine Laksmiwati M.Farm","Dk. Ikan No. 712, Pekanbaru 52356, Sulteng","Generated Static Data"
P-00011,assigned,"Anita Nasyidah M.TI.","Dk. R.E. Martadinata No. 954, Bandar Lampung 47086, Jateng","Generated Static Data"
P-00012,assigned,"Zamira Utami M.M.","Jln. Basoka No. 737, Medan 20888, Bengkulu","Generated Static Data"
P-00013,assigned,"Mulya Pratama","Gg. Zamrud No. 35, Surakarta 95987, Banten","Generated Static Data"
P-00014,assigned,"Sarah Mardhiyah S.T.","Gg. Gedebage Selatan No. 211, Sungai Penuh 52066, Jambi","Generated Static Data"
P-00015,assigned,"Kezia Handayani S.Sos","Psr. Sugiono No. 731, Palangka Raya 83120, Kalsel","Generated Static Data"
P-00016,assigned,"Kezia Riyanti S.Farm","Psr. Mulyadi No. 548, Administrasi Jakarta Utara 71852, Lampung","Generated Static Data"
P-00017,assigned,"Cinthia Hani Usamah","Dk. Abdul. Muis No. 410, Samarinda 33040, DKI","Generated Static Data"
P-00018,assigned,"Paulin Elisa Anggraini S.Kom","Dk. Gambang No. 132, Ambon 11143, Pabar","Generated Static Data"
P-00019,assigned,"Aswani Sitompul M.Kom.","Ds. Moch. Ramdan No. 93, Bandung 63755, Sulut","Generated Static Data"
P-00020,assigned,"Elvina Ciaobella Puspasari","Gg. Setiabudhi No. 656, Blitar 34692, Kalteng","Generated Static Data"
P-00021,assigned,"Ira Indah Safitri","Ds. Pasirkoja No. 39, Cimahi 47722, Bengkulu","Generated Static Data"
P-00022,assigned,"Prayogo Lutfan Sihombing S.Ked","Jr. Umalas No. 672, Parepare 61793, Sulut","Generated Static Data"
P-00023,assigned,"Humaira Iriana Nuraini M.Farm","Psr. Baja No. 975, Solok 32024, Aceh","Generated Static Data"
P-00024,assigned,"Maimunah Halima Mardhiyah","Dk. Moch. Yamin No. 322, Salatiga 72036, Gorontalo","Generated Static Data"
P-00025,assigned,"Elma Wulandari M.Ak","Jr. Bak Mandi No. 57, Padangsidempuan 55567, DKI","Generated Static Data"
P-00026,assigned,"Ridwan Argono Wacana S.Sos","Psr. Karel S. Tubun No. 820, Manado 43899, Jambi","Generated Static Data"
P-00027,assigned,"Nadine Mulyani S.Kom","Kpg. Agus Salim No. 481, Pekalongan 80246, Malut","Generated Static Data"
P-00028,assigned,"Gangsa Wijaya","Ki. Wahid Hasyim No. 204, Administrasi Jakarta Timur 91074, Banten","Generated Static Data"
P-00029,assigned,"Lasmono Kurniawan","Jr. Suprapto No. 277, Kupang 97036, Jabar","Generated Static Data"
P-00030,assigned,"Irnanto Waskita","Ds. Sukajadi No. 259, Jayapura 12609, Kaltara","Generated Static Data"
P-00031,assigned,"Luwar Siregar","Ki. Sukabumi No. 219, Semarang 14673, Sumut","Generated Static Data"
P-00032,assigned,"Nilam Mayasari M.M.","Jln. Bank Dagang Negara No. 490, Pangkal Pinang 36571, Kalteng","Generated Static Data"
P-00033,assigned,"Jessica Andriani M.Farm","Psr. Eka No. 945, Banjarbaru 42164, Sulut","Generated Static Data"
P-00034,assigned,"Bahuraksa Okto Sitompul S.H.","Jr. Moch. Ramdan No. 392, Banjar 78268, DIY","Generated Static Data"
P-00035,assigned,"Jarwi Situmorang","Ki. Sutami No. 740, Kendari 15494, Pabar","Generated Static Data"
P-00036,assigned,"Caraka Halim","Psr. Baja No. 614, Medan 12685, Jabar","Generated Static Data"
P-00037,assigned,"Mutia Rahmi Nasyiah","Dk. Supono No. 156, Sawahlunto 74295, Jabar","Generated Static Data"
P-00038,assigned,"Ratih Fitriani Usada","Jln. Ters. Jakarta No. 922, Solok 91359, Kaltara","Generated Static Data"
P-00039,assigned,"Elma Hartati","Ki. Bambu No. 509, Pekalongan 32049, Kalsel","Generated Static Data"
