uuid,status,name,address,notes
6ff8f7f6-1eb3-3525-be4a-3932c805afed,assigned,"Paulin Halimah","Dk. M.T. Haryono No. 778, Gorontalo 11582, Gorontalo","Stress Test UUID Data"
3c85cf54-98c1-36ed-b65a-abaafdecdfa9,assigned,"Rahmi Nurdiyanti","Jr. Suprapto No. 556, Yogyakarta 38862, Banten","Stress Test UUID Data"
6c868c6d-85fb-3170-87f4-2bdcd8769991,assigned,"Among Mahendra","Jln. Kartini No. 607, Pangkal Pinang 51024, Sulsel","Stress Test UUID Data"
4ac9147e-bdf0-3914-9dcd-3c6a5c52010c,assigned,"Enteng Praba Wahyudin S.Psi","Jln. Diponegoro No. 398, Probolinggo 35708, Jateng","Stress Test UUID Data"
1df0d726-07cf-39dc-9280-74563f231abd,assigned,"Maida Pratiwi","Psr. Bawal No. 737, Madiun 85188, Sulbar","Stress Test UUID Data"
047616b9-c05d-3fa3-9ad9-452244fc55e1,assigned,"Harto Manullang","Jr. Lada No. 301, Tangerang 26037, Pabar","Stress Test UUID Data"
af49b819-28db-33bd-b66b-66e0bad1c5fa,assigned,"Jasmin Hariyah","Ki. Supono No. 461, Cimahi 93199, NTB","Stress Test UUID Data"
1470dbfb-09b2-390a-9691-9f19035d3dd5,assigned,"Humaira Diah Fujiati","Psr. Astana Anyar No. 694, Surabaya 10937, Jateng","Stress Test UUID Data"
5601c8f4-9fee-3c15-b93d-e34b88b648fd,assigned,"Puspa Safitri","Kpg. Peta No. 464, Payakumbuh 46330, Kalteng","Stress Test UUID Data"
1f8aa08b-069b-384f-91a9-1371486fc32b,assigned,"Kasim Bakti Suwarno S.Pt","Jr. Badak No. 820, Banda Aceh 49904, Kaltara","Stress Test UUID Data"
c77afc52-8244-3ecc-9c40-ab90c007aeb6,assigned,"Unjani Nuraini","Dk. Ciumbuleuit No. 591, Binjai 76594, Sulteng","Stress Test UUID Data"
ccfb5b81-7059-3ee1-aae1-7dd747b96ad0,assigned,"Ida Mayasari","Psr. Kalimalang No. 526, Palangka Raya 46082, Lampung","Stress Test UUID Data"
ae4ffd38-9700-38b5-8479-c970d7d948aa,assigned,"Panji Halim","Ds. Ki Hajar Dewantara No. 488, Tangerang 84064, Sumut","Stress Test UUID Data"
97e39b3e-5244-3ec7-99fb-ea6df79f3154,assigned,"Safina Paris Novitasari","Jln. Ciwastra No. 949, Sorong 54676, Kepri","Stress Test UUID Data"
34d398b4-68ae-39be-87eb-4584e7b2e8b3,assigned,"Cinthia Hani Usamah","Dk. Abdul. Muis No. 410, Samarinda 33040, DKI","Stress Test UUID Data"
00d40867-6068-37fa-9b6f-d572e5d5323a,assigned,"Maryanto Prabowo Marpaung S.H.","Jr. Basoka Raya No. 151, Lubuklinggau 70050, Papua","Stress Test UUID Data"
848f3233-2d75-310d-a6de-07a8da684308,assigned,"Hadi Najmudin","Dk. Bakau No. 201, Pematangsiantar 83002, Banten","Stress Test UUID Data"
ed24a0d4-e470-3f00-ab91-5a3f4ace0be3,assigned,"Murti Siregar M.Pd","Ki. Baing No. 723, Dumai 22769, Malut","Stress Test UUID Data"
df153397-df7f-3f8c-8e8f-c61270c38444,assigned,"Restu Fujiati","Gg. Umalas No. 559, Lhokseumawe 73417, Sumut","Stress Test UUID Data"
449e7fec-da49-3684-a3e3-34791122ce32,assigned,"Parman Saptono","Dk. Pahlawan No. 834, Tarakan 68414, DKI","Stress Test UUID Data"
1ee1be60-0966-37a0-8466-17692a30ae4b,assigned,"Akarsana Narpati","Ds. Suryo No. 388, Kotamobagu 80220, Pabar","Stress Test UUID Data"
43953b26-0c65-34a5-abf4-33963c4323fb,assigned,"Anita Astuti S.Pd","Ki. Kebangkitan Nasional No. 934, Tomohon 75069, Sulbar","Stress Test UUID Data"
